Código - Nome,Turma,Vagas,Número créditos aula teórica,Número de créditos aula prática,Número de turmas agrupadas aula teórica,Turmas teóricas agrupadas,Número de turmas agrupadas aula prática,Turmas práticas agrupadas,Número de professores,Professor,Formato,Indicação de professor,Indicação de Horário,Ambiente,Carga Didática,Vagas Efetivas,Observações
EMB5097 - Intercâmbio I,02601,,,,1,02601,1,02601,0,A definir,,Coord. BCT,preencher,,0.00,0,
EMB5098 - Intercâmbio II,02601,,,,1,02601,1,02601,0,A definir,,Coord. BCT,preencher,,0.00,0,
EMB5200 - Trabalho de Conclusão de Curso,06601,,,,1,06601,1,06601,1,César Augusto Bortot,,Coord. BCT,Coord. BCT,,0.00,0,
EMB5045 - Trabalho de Conclusão de Curso,09603,25,,,1,09603,1,09603,1,Leonardo Moreto Elias,,Coord. Automotiva,preencher,,0.00,25,
EMB5046 - Estágio Curricular Obrigatório,10603,20,,,1,10603,1,10603,1,Antônio de Assis Brito Neto,,Coord. Automotiva,preencher,,0.00,20,
EMB5107 - Manutenção e Confiabilidade,06603,15,2,,3,04602/04606/06603,3,04602/04606/06603,1,Maurício de Campos Porath,2,Coord. Automotiva,Departamento,Sala Comum,0.67,15,
EMB5300 - Acústica Veicular,10603,25,2,,1,10603,1,10603,1,Thiago Antonio Fiorentin,2,Coord. Automotiva,preencher,Sala Comum,2.00,25,
"EMB5303 - Sistemas Veiculares I: Chassis, Suspensão, Direção",08603,25,2,2,1,08603,1,08603,1,Andrea Piga Carboni,2+2,Coord. Automotiva,Coord. Automotiva,Sala Comum,4.00,25,
EMB5304 - Motores de Combustão Interna I,07603,25,2,2,1,07603,1,07603,1,Leonel Rincon Cancino,2+2,Coord. Automotiva,Coord. Automotiva,Sala Comum + Laboratório Informática,4.00,25,
EMB5313 - Sistemas Veiculares II: Transmissão e Freio,08603,25,1,1,1,08603,1,08603,2,Sérgio Junichi Idehara,2+2,Coord. Automotiva,Coord. Automotiva,Sala Comum,2.00,12.5,
EMB5313 - Sistemas Veiculares II: Transmissão e Freio,08603,25,1,1,1,08603,1,08603,2,Thiago Antonio Fiorentin,2+2,Coord. Automotiva,Coord. Automotiva,Sala Comum,2.00,12.5,
EMB5315 - Compatibilidade Eletromagnética,09603,25,2,,1,09603,1,09603,1,Xisto Lucas Travassos Junior,2,Coord. Automotiva,Coord. Automotiva,Sala Comum,2.00,25,
EMB5316 - Dinâmica Veicular,07603,25,2,2,1,07603,1,07603,1,Thiago Antonio Fiorentin,2+2,Coord. Automotiva,Coord. Automotiva,Sala Comum,4.00,25,
EMB5317 - Aerodinâmica Veicular,09603,25,2,2,1,09603,1,09603,1,Leonel Rincon Cancino,2+2,Coord. Automotiva,Coord. Automotiva,Sala Comum + Laboratório Informática,4.00,25,
EMB5324 - Projeto de Moldes e Matrizes a Indústria Automotiva,08603,25,2,,1,08603,1,08603,1,Carlos Mauricio Sacchelli,2,Coord. Automotiva,preencher,Laboratório Informática,2.00,25,
EMB5325 - Processos de Soldagem,08603,25,2,2,1,08603,1,08603,1,Tiago Vieira da Cunha,2+2,Coord. Automotiva,Coord. Automotiva,Sala Comum + Laboratório Específico,4.00,25,
EMB5326 - Desenvolvimento de Produto Veicular,09603,25,3,,1,09603,1,09603,1,Sérgio Junichi Idehara,4,Coord. Automotiva,preencher,Laboratório Informática,3.00,25,
EMB5328 - Motores de combustão interna II,10603,20,2,,1,10603,1,10603,1,Leonel Rincon Cancino,2,Coord. Automotiva,preencher,Sala Comum,2.00,20,
EMB5351 - Introdução à Engenharia Automotiva,01603,25,2,,1,01603,1,01603,1,Modesto Hurtado Ferrer,2,Coord. Automotiva,Departamento,Sala Comum,2.00,25,
EMB5352 - Mecânica da Fratura,06603,25,2,,1,06603,1,06603,1,Andrea Piga Carboni,2,Coord. Automotiva,Departamento,Sala Comum,2.00,25,
EMB5353 - Manufatura Auxiliada por Computador,06603,25,2,,1,06603,1,06603,1,Adriano Fagali de Souza,2,Coord. Automotiva,Coord. Automotiva,Laboratório Informática,2.00,25,
EMB5355 - Materiais e Processos de Construção Veicular I,07603,25,2,,1,07603,1,07603,1,Modesto Hurtado Ferrer,2,Coord. Automotiva,preencher,Sala Comum,2.00,25,
EMB5356 - Materiais e Processos de Construção Veicular II,08603,25,2,,1,08603,1,08603,1,Wagner Maurício Pachekoski,2,Coord. Automotiva,preencher,Sala Comum,2.00,25,
EMB5357 - Gestão da qualidade Automotiva,08603,25,2,,1,08603,1,08603,1,Sueli Fischer Beckert,2,Coord. Automotiva,preencher,Sala Comum,2.00,25,
EMB5372 - Tópicos Especiais em Projeto Automotivo,10603,25,3,,1,10603,1,10603,1,Thiago Antonio Fiorentin,3,Coord. Automotiva,Coord. Automotiva,Sala Comum,3.00,25,
